actions_executed, tiles_visited,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,7,
9,8,
10,8,
11,9,
12,10,
13,10,
14,10,
15,10,
16,11,
17,12,
18,13,
19,14,
20,14,
21,14,
22,14,
23,14,
24,14,
25,14,
26,14,
27,14,
28,14,
29,14,
30,14,
31,14,
32,14,
33,15,
34,15,
35,15,
36,15,
37,15,
38,15,
39,16,
40,17,
41,17,
42,17,
43,17,
44,17,
45,17,
46,17,
47,18,
48,18,
49,18,
50,18,
51,18,
52,19,
53,19,
54,19,
55,20,
56,21,
57,21,
58,21,
59,21,
60,21,
61,21,
62,21,
63,21,
64,21,
65,21,
66,21,
67,21,
68,21,
69,21,
70,21,
71,21,
72,21,
73,21,
74,21,
75,21,
76,21,
77,21,
78,21,
79,21,
80,21,
81,21,
82,21,
83,21,
84,22,
85,23,
86,24,
87,25,
88,26,
89,27,
90,27,
91,28,
92,28,
93,29,
94,30,
95,31,
96,32,
97,32,
98,32,
99,32,
100,32,
101,32,
102,32,
103,33,
104,34,
105,35,
106,36,
107,37,
108,38,
109,39,
110,40,
111,41,
112,42,
113,42,
114,42,
115,43,
116,44,
117,44,
118,45,
119,45,
120,45,
121,45,
122,45,
123,45,
124,45,
125,45,
126,45,
127,45,
128,45,
129,45,
130,45,
131,45,
132,45,
133,45,
134,45,
135,45,
136,45,
137,45,
138,46,
139,47,
140,48,
141,49,
142,49,
143,50,
144,51,
145,52,
146,53,
147,54,
148,55,
149,56,
150,56,
151,57,
152,57,
153,58,
154,59,
155,60,
156,61,
157,62,
158,62,
159,62,
160,63,
161,63,
162,64,
163,64,
164,65,
165,66,
166,67,
167,68,
168,69,
169,70,
170,71,
171,72,
172,73,
173,74,
174,74,
175,75,
176,75,
177,76,
178,77,
179,77,
180,78,
181,78,
182,78,
183,78,
184,78,
185,78,
186,78,
187,79,
188,79,
189,79,
190,80,
191,81,
192,81,
193,81,
194,81,
195,81,
196,81,
197,81,
198,81,
199,81,
200,81,
201,81,
202,81,
203,81,
204,82,
205,83,
206,84,
207,85,
208,86,
209,87,
210,88,
211,88,
212,89,
213,90,
214,91,
215,92,
216,93,
217,94,
218,94,
219,94,
220,94,
221,94,
222,94,
223,94,
224,94,
225,94,
226,94,
227,94,
228,94,
229,95,
230,95,
231,96,
232,97,
233,98,
234,99,
235,100,
236,101,
237,101,
238,101,
239,101,
240,101,
241,103,
242,103,
243,103,
244,103,
245,103,
246,103,
247,103,
248,103,
249,103,
250,104,
251,104,
252,104,
253,104,
254,104,
255,104,
256,104,
257,104,
258,104,
259,104,
260,104,
261,104,
262,104,
263,105,
264,105,
265,106,
266,107,
267,107,
268,107,
269,107,
270,107,
271,107,
272,107,
273,107,
274,107,
275,107,
276,107,
277,107,
278,107,
279,107,
280,107,
281,108,
282,109,
283,110,
284,111,
285,112,
286,113,
287,113,
288,113,
289,113,
290,113,
291,113,
292,113,
293,114,
294,115,
295,116,
296,117,
297,118,
298,118,
299,118,
300,118,
301,118,
302,118,
303,118,
304,118,
305,118,
306,118,
307,118,
308,118,
309,118,
310,118,
311,118,
312,118,
313,118,
314,118,
315,118,
316,118,
317,118,
318,119,
319,119,
320,119,
321,119,
322,119,
323,119,
324,119,
325,119,
326,119,
327,119,
328,119,
329,119,
330,119,
331,120,
332,121,
333,122,
334,123,
335,124,
336,125,
337,125,
338,125,
339,125,
340,125,
341,125,
342,125,
343,125,
344,125,
345,125,
346,126,
347,126,
348,126,
349,126,
350,126,
351,126,
352,126,
353,126,
354,126,
355,126,
356,126,
357,126,
358,126,
359,126,
360,126,
361,126,
362,126,
363,126,
364,126,
365,126,
366,126,
367,126,
368,126,
369,126,
370,126,
371,126,
372,126,
373,126,
374,127,
375,127,
376,127,
377,127,
378,127,
379,127,
380,127,
381,127,
382,127,
383,127,
384,127,
385,127,
386,127,
387,127,
388,127,
389,127,
390,128,
391,129,
392,130,
393,131,
394,132,
395,132,
396,132,
397,132,
398,132,
399,133,
400,134,
401,135,
402,136,
403,136,
404,137,
405,138,
406,139,
407,140,
408,141,
409,142,
410,143,
411,144,
412,144,
413,145,
414,145,
415,146,
416,146,
417,146,
418,146,
419,146,
420,146,
421,146,
422,146,
423,146,
424,146,
425,146,
426,146,
427,146,
428,146,
429,147,
430,148,
431,149,
432,150,
433,151,
434,152,
435,153,
436,154,
437,155,
438,156,
439,156,
440,156,
441,156,
442,156,
443,156,
444,156,
445,156,
446,156,
447,156,
448,156,
449,156,
450,156,
451,156,
452,156,
453,156,
454,156,
455,157,
456,157,
457,157,
458,157,
459,158,
460,159,
461,160,
462,160,
463,160,
464,161,
465,161,
466,161,
467,161,
468,161,
469,161,
470,161,
471,161,
472,161,
473,161,
474,161,
475,161,
476,161,
477,161,
478,161,
479,161,
480,161,
481,161,
482,162,
483,162,
484,162,
485,162,
486,162,
487,162,
488,163,
489,164,
490,165,
491,165,
492,165,
493,165,
494,165,
495,165,
496,165,
497,166,
498,167,
499,168,
500,168,
