actions_executed, tiles_visited,
1,1,
2,1,
3,1,
4,1,
5,1,
6,2,
7,3,
8,3,
9,3,
10,3,
11,4,
12,4,
13,5,
14,6,
15,7,
16,7,
17,8,
18,8,
19,8,
20,9,
21,9,
22,9,
23,10,
24,11,
25,12,
26,13,
27,13,
28,13,
29,13,
30,13,
31,13,
32,14,
33,14,
34,14,
35,14,
36,14,
37,14,
38,14,
39,14,
40,14,
41,15,
42,15,
43,16,
44,16,
45,16,
46,16,
47,17,
48,17,
49,17,
50,17,
51,17,
52,17,
53,17,
54,17,
55,17,
56,17,
57,17,
58,17,
59,17,
60,17,
61,17,
62,17,
63,18,
64,19,
65,19,
66,19,
67,19,
68,20,
69,20,
70,20,
71,20,
72,20,
73,20,
74,20,
75,20,
76,20,
77,20,
78,20,
79,20,
80,20,
81,20,
82,20,
83,20,
84,20,
85,20,
86,20,
87,20,
88,20,
89,20,
90,20,
91,20,
92,20,
93,21,
94,21,
95,21,
96,21,
97,21,
98,21,
99,21,
100,21,
101,22,
102,22,
103,22,
104,22,
105,23,
106,23,
107,23,
108,23,
109,23,
110,23,
111,23,
112,23,
113,23,
114,23,
115,23,
116,23,
117,24,
118,24,
119,24,
120,24,
121,24,
122,24,
123,24,
124,24,
125,24,
126,24,
127,24,
128,24,
129,24,
130,25,
131,25,
132,26,
133,26,
134,26,
135,26,
136,27,
137,28,
138,29,
139,29,
140,29,
141,29,
142,29,
143,29,
144,30,
145,30,
146,31,
147,31,
148,32,
149,32,
150,32,
151,32,
152,32,
153,32,
154,32,
155,32,
156,33,
157,33,
158,33,
159,34,
160,34,
161,34,
162,34,
163,35,
164,35,
165,35,
166,35,
167,35,
168,35,
169,35,
170,35,
171,35,
172,35,
173,35,
174,35,
175,35,
176,35,
177,35,
178,36,
179,36,
180,36,
181,36,
182,36,
183,36,
184,36,
185,36,
186,37,
187,37,
188,37,
189,37,
190,37,
191,37,
192,37,
193,37,
194,37,
195,38,
196,39,
197,40,
198,40,
199,40,
200,40,
201,40,
202,40,
203,40,
204,40,
205,40,
206,40,
207,40,
208,40,
209,40,
210,40,
211,40,
212,41,
213,41,
214,41,
215,42,
216,42,
217,42,
218,42,
219,42,
220,43,
221,43,
222,43,
223,44,
224,45,
225,45,
226,45,
227,46,
228,46,
229,46,
230,46,
231,46,
232,46,
233,46,
234,46,
235,46,
236,47,
237,47,
238,47,
239,47,
240,47,
241,47,
242,47,
243,48,
244,48,
245,48,
246,48,
247,49,
248,50,
249,50,
250,50,
251,50,
252,50,
253,51,
254,52,
255,52,
256,53,
257,53,
258,53,
259,53,
260,53,
261,53,
262,53,
263,53,
264,53,
265,53,
266,53,
267,53,
268,53,
269,53,
270,53,
271,53,
272,53,
273,53,
274,53,
275,53,
276,53,
277,53,
278,53,
279,53,
280,53,
281,53,
282,54,
283,54,
284,54,
285,54,
286,54,
287,55,
288,56,
289,56,
290,56,
291,56,
292,56,
293,56,
294,56,
295,56,
296,56,
297,56,
298,56,
299,57,
300,57,
301,57,
302,57,
303,57,
304,57,
305,57,
306,57,
307,57,
308,57,
309,57,
310,57,
311,57,
312,57,
313,57,
314,57,
315,57,
316,57,
317,58,
318,58,
319,58,
320,58,
321,58,
322,58,
323,58,
324,58,
325,58,
326,58,
327,58,
328,58,
329,58,
330,58,
331,58,
332,58,
333,58,
334,58,
335,58,
336,58,
337,58,
338,58,
339,58,
340,58,
341,58,
342,58,
343,59,
344,60,
345,61,
346,61,
347,61,
348,61,
349,62,
350,62,
351,62,
352,62,
353,62,
354,62,
355,62,
356,62,
357,62,
358,62,
359,62,
360,62,
361,62,
362,62,
363,62,
364,62,
365,62,
366,62,
367,62,
368,62,
369,62,
370,62,
371,62,
372,62,
373,62,
374,62,
375,62,
376,62,
377,62,
378,62,
379,62,
380,62,
381,62,
382,62,
383,62,
384,62,
385,62,
386,62,
387,62,
388,62,
389,62,
390,62,
391,62,
392,62,
393,62,
394,62,
395,62,
396,62,
397,62,
398,62,
399,62,
400,62,
401,62,
402,62,
403,62,
404,62,
405,62,
406,62,
407,62,
408,62,
409,62,
410,62,
411,62,
412,62,
413,62,
414,62,
415,62,
416,62,
417,62,
418,62,
419,62,
420,62,
421,62,
422,62,
423,62,
424,62,
425,62,
426,62,
427,62,
428,62,
429,62,
430,62,
431,62,
432,62,
433,62,
434,62,
435,62,
436,62,
437,62,
438,62,
439,62,
440,62,
441,62,
442,62,
443,62,
444,62,
445,62,
446,62,
447,62,
448,62,
449,62,
450,62,
451,62,
452,62,
453,62,
454,62,
455,62,
456,62,
457,62,
458,62,
459,62,
460,62,
461,62,
462,62,
463,62,
464,62,
465,62,
466,63,
467,63,
468,64,
469,65,
470,66,
471,66,
472,66,
473,66,
474,66,
475,66,
476,66,
477,67,
478,67,
479,67,
480,67,
481,67,
482,68,
483,68,
484,68,
485,68,
486,68,
487,68,
488,68,
489,68,
490,68,
491,68,
492,68,
493,68,
494,68,
495,68,
496,68,
497,68,
498,68,
499,68,
500,68,
